d_model, num_layers, num_heads, batch_size, learning_rate, train_flops, loss
1024,2,2,128,0.001,10000000000000,10.542559516525268
928,14,14,256,0.001,10000000000000.0,10.543333482742309
928,14,14,256,0.001,10000000000000.0,10.543333482742309
928,14,14,256,0.001,10000000000000.0,10.543333482742309
928,14,14,256,0.001,10000000000000.0,10.543333482742309
928,14,14,256,0.001,10000000000000,10.543333482742309
928,14,14,256,0.001,10000000000000,10.543333482742309
928,14,14,256,0.001,10000000000000,10.543333482742309
928,14,14,256,0.001,10000000000000,10.543333482742309
928,14,14,256,0.001,10000000000000,10.543333482742309
928,14,14,256,0.001,10000000000000,10.543333482742309
928,14,14,256,0.001,10000000000000,10.543333482742309
928,14,14,256,0.001,10000000000000,10.543333482742309
928,14,14,256,0.001,10000000000000,10.543333482742309
928,14,14,256,0.001,10000000000000,10.543333482742309
951,16,14,128,0.0001,10000000000000,10.541300649642944
951,16,14,128,0.0001,10000000000000,10.541300649642944
951,16,14,128,0.0001,10000000000000,10.541300649642944
952,17,15,128,0.0001,10000000000000,10.541229057312012
928,14,14,256,0.001,10000000000000,10.543333482742309
952,17,15,128,0.0001,10000000000000,10.541229057312012
928,14,14,256,0.001,10000000000000,10.543333482742309
952,17,15,128,0.0001,10000000000000,10.541229057312012
928,14,14,256,0.001,10000000000000,10.543333482742309
959,18,15,128,0.0001,10000000000000,10.541229057312012
928,14,14,256,0.001,10000000000000,10.543333482742309
919,13,16,128,0.0001,10000000000000,10.541300649642944
928,14,14,256,0.001,10000000000000,10.543333482742309
952,17,15,128,0.0001,10000000000000,10.541229057312012
928,14,14,256,0.001,10000000000000,10.543333482742309
959,18,15,128,0.0001,10000000000000,10.541229057312012
928,14,14,256,0.001,10000000000000,10.543333482742309
919,13,16,128,0.0001,10000000000000,10.541300649642944
928,14,14,256,0.001,10000000000000,10.543333482742309
952,17,15,128,0.0001,10000000000000,10.541229057312012
928,14,14,256,0.001,10000000000000,10.543333482742309
959,18,15,128,0.0001,10000000000000,10.541229057312012
928,14,14,256,0.001,10000000000000,10.543333482742309
919,13,16,128,0.0001,10000000000000,10.541300649642944
928,14,14,256,0.001,10000000000000,10.543333482742309
952,17,15,128,0.0001,10000000000000,10.541229057312012
928,14,14,256,0.001,10000000000000,10.543333482742309
